MODEL_TYPE,NODE_TYPE,ID,NAME,PARENT_ID,LEVEL_NUM
Billing,Billing_Node,1,Billing_core_node,,0
Billing,Billing_Node,2,Tariff_1,1,1
Billing,Billing_Node,3,Tariff_2,1,1
Billing,Billing_Node,4,Tariff_3,1,1
Billing,Billing_Node,5,Tariff_4,1,1
Billing,Billing_Node,6,Tariff_5,1,1
Billing,Tier,32,Tier_1,1,1
Billing,Tier,33,Tier_2,1,1
Billing,Tier,34,Tier_3,1,1
Billing,Tier,35,Tier_4,1,1
Billing,Tier,36,Tier_5,1,1
Billing,User,7,User_1,2:32,2
Billing,User,8,User_2,2:32,2
Billing,User,9,User_3,2:32,2
Billing,User,10,User_4,2:32,2
Billing,User,11,User_5,2:32,2
Billing,User,12,User_6,3:33,2
Billing,User,13,User_7,3:33,2
Billing,User,14,User_8,3:33,2
Billing,User,15,User_9,3:33,2
Billing,User,16,User_10,3:33,2
Billing,User,17,User_11,4:34,2
Billing,User,18,User_12,4:34,2
Billing,User,19,User_13,4:34,2
Billing,User,20,User_14,4:34,2
Billing,User,21,User_15,4:34,2
Billing,User,22,User_16,5,2
Billing,User,23,User_17,5,2
Billing,User,24,User_18,5,2
Billing,User,25,User_19,5,2
Billing,User,26,User_20,5,2
Billing,User,27,User_21,6,2
Billing,User,28,User_22,6,2
Billing,User,29,User_23,6,2
Billing,User,30,User_24,6,2
Billing,User,31,User_25,6,2
