MODEL_TYPE,NODE_TYPE,ID,NAME,PARENT_ID,LEVEL_NUM
Entitlements,Entitlements_Node,1,Entitlements_core_node,,0
Entitlements,Billing_Node,2,Tariff_1,1,1
Entitlements,Billing_Node,3,Tariff_2,1,1
Entitlements,Billing_Node,4,Tariff_3,1,1
Entitlements,Billing_Node,5,Tariff_4,1,1
Entitlements,Billing_Node,6,Tariff_5,1,1
Entitlements,Tier,13,Tier_1,1,1
Entitlements,Tier,14,Tier_2,1,1
Entitlements,Tier,15,Tier_3,1,1
Entitlements,Tier,16,Tier_4,1,1
Entitlements,Tier,17,Tier_5,1,1
Entitlements,PPV_Channel,7,Sport,2:13,2
Entitlements,PPV_Channel,8,Documentary,2:13,2
Entitlements,PPV_Channel,9,Children,3:14,2
Entitlements,PPV_Channel,10,Famaly,3:14,2
Entitlements,PPV_Channel,11,Sport,4:15,2
Entitlements,PPV_Channel,12,Children,4:15,2
Entitlements,PPV_Channel,13,Famaly,4:15,2
Entitlements,PPV_Channel,14,Documentary,4:15,2
Entitlements,PPV_Channel,15,Sport_interview,5:16,2
Entitlements,PPV_Channel,16,Sport_news,5:16,2
Entitlements,PPV_Channel,11,Sport_events,6:17,2
Entitlements,PPV_Channel,12,Famaly_shows,6:17,2
