MODEL_TYPE,NODE_TYPE,ID,NAME,PARENT_ID,LEVEL_NUM
PPV,PPV_Channel,1,PPV_calaloge_Core,,0
PPV,PPV_Channel,5,Sport,1,1
PPV,PPV_Channel,6,Children,1,1
PPV,PPV_Channel,7,Famaly,1,1
PPV,PPV_Channel,8,Documentary,1
PPV,PPV_Channel,9,Sport_events,5,2
PPV,PPV_Channel,10,Sport_interview,5,2
PPV,PPV_Channel,11,Sport_news,5,2
PPV,PPV_Channel,12,Famaly_shows,7,2
PPV,PPV_Channel,13,Famaly_films,7,2
PPV,PPV_Channel,14,Famaly_sport,7,2
PPV,PPV_Channel,15,Children_cartoons,6,2
PPV,PPV_Channel,16,Children_sport,6,2
PPV,PPV_Channel,17,Children_films,6,2
PPV,PPV_Channel,18,Documentary_films,8,2
PPV,PPV_Event,19,Event_1,9,3
PPV,PPV_Event,20,Event_2,9,3
PPV,PPV_Event,21,Event_3,9,3
PPV,PPV_Event,22,Event_4,10,3
PPV,PPV_Event,23,Event_5,10,3
PPV,PPV_Event,24,Event_6,10,3
PPV,PPV_Event,25,Event_7,11,3
PPV,PPV_Event,26,Event_8,11,3
PPV,PPV_Event,27,Event_9,11,3
PPV,PPV_Event,28,Event_10,12,3
PPV,PPV_Event,29,Event_11,12,3
PPV,PPV_Event,30,Event_12,12,3
PPV,PPV_Event,31,Event_13,13,3
PPV,PPV_Event,32,Event_14,13,3
PPV,PPV_Event,33,Event_15,13,3
PPV,PPV_Event,34,Event_16,14,3
PPV,PPV_Event,35,Event_17,14,3
PPV,PPV_Event,36,Event_18,14,3
PPV,PPV_Event,37,Event_19,15,3
PPV,PPV_Event,38,Event_20,15,3
PPV,PPV_Event,39,Event_21,15,3
PPV,PPV_Event,40,Event_22,16,3
PPV,PPV_Event,41,Event_23,16,3
PPV,PPV_Event,42,Event_24,16,3
PPV,PPV_Event,43,Event_25,17,3
PPV,PPV_Event,44,Event_26,17,3
PPV,PPV_Event,45,Event_27,17,3
PPV,PPV_Event,46,Event_28,18,3
PPV,PPV_Event,47,Event_29,18,3
PPV,PPV_Event,48,Event_30,18,3
