MODEL_TYPE,NODE_TYPE,ID,NAME,PARENT_ID,LEVEL_NUM
Billing,Billing_Node,1,Billing_core_node,,0
Billing,Billing_Node,2,Tariff_1,1,1
Billing,Billing_Node,3,Tariff_2,1,1
Billing,Billing_Node,4,Tariff_3,1,1
Billing,Billing_Node,5,Tariff_4,1,1
Billing,Billing_Node,6,Tariff_5,1,1
Billing,Tier,32,Tier_1,1,1
Billing,Tier,33,Tier_2,1,1
Billing,Tier,34,Tier_3,1,1
Billing,Tier,35,Tier_4,1,1
Billing,Tier,36,Tier_5,1,1
Billing,User,7,User_1,2:32,2
Billing,User,8,User_2,2:32,2
Billing,User,9,User_3,2:32,2
Billing,User,10,User_4,2:32,2
Billing,User,11,User_5,2:32,2
Billing,User,12,User_6,3:33,2
Billing,User,13,User_7,3:33,2
Billing,User,14,User_8,3:33,2
Billing,User,15,User_9,3:33,2
Billing,User,16,User_10,3:33,2
Billing,User,17,User_11,4:34,2
Billing,User,18,User_12,4:34,2
Billing,User,19,User_13,4:34,2
Billing,User,20,User_14,4:34,2
Billing,User,21,User_15,4:34,2
Billing,User,22,User_16,5,2
Billing,User,23,User_17,5,2
Billing,User,24,User_18,5,2
Billing,User,25,User_19,5,2
Billing,User,26,User_20,5,2
Billing,User,27,User_21,6,2
Billing,User,28,User_22,6,2
Billing,User,29,User_23,6,2
Billing,User,30,User_24,6,2
Billing,User,31,User_25,6,2
PPV,PPV_Channel,1,PPV_calaloge_Core,,0
PPV,PPV_Channel,5,Sport,1,1
PPV,PPV_Channel,6,Children,1,1
PPV,PPV_Channel,7,Famaly,1,1
PPV,PPV_Channel,8,Documentary,1,1
PPV,PPV_Channel,9,Sport_events,5,2
PPV,PPV_Channel,10,Sport_interview,5,2
PPV,PPV_Channel,11,Sport_news,5,2
PPV,PPV_Channel,12,Famaly_shows,7,2
PPV,PPV_Channel,13,Famaly_films,7,2
PPV,PPV_Channel,14,Famaly_sport,7,2
PPV,PPV_Channel,15,Children_cartoons,6,2
PPV,PPV_Channel,16,Children_sport,6,2
PPV,PPV_Channel,17,Children_films,6,2
PPV,PPV_Channel,18,Documentary_films,8,2
PPV,PPV_Event,19,Event_1,9,3
PPV,PPV_Event,20,Event_2,9,3
PPV,PPV_Event,21,Event_3,9,3
PPV,PPV_Event,22,Event_4,10,3
PPV,PPV_Event,23,Event_5,10,3
PPV,PPV_Event,24,Event_6,10,3
PPV,PPV_Event,25,Event_7,11,3
PPV,PPV_Event,26,Event_8,11,3
PPV,PPV_Event,27,Event_9,11,3
PPV,PPV_Event,28,Event_10,12,3
PPV,PPV_Event,29,Event_11,12,3
PPV,PPV_Event,30,Event_12,12,3
PPV,PPV_Event,31,Event_13,13,3
PPV,PPV_Event,32,Event_14,13,3
PPV,PPV_Event,33,Event_15,13,3
PPV,PPV_Event,34,Event_16,14,3
PPV,PPV_Event,35,Event_17,14,3
PPV,PPV_Event,36,Event_18,14,3
PPV,PPV_Event,37,Event_19,15,3
PPV,PPV_Event,38,Event_20,15,3
PPV,PPV_Event,39,Event_21,15,3
PPV,PPV_Event,40,Event_22,16,3
PPV,PPV_Event,41,Event_23,16,3
PPV,PPV_Event,42,Event_24,16,3
PPV,PPV_Event,43,Event_25,17,3
PPV,PPV_Event,44,Event_26,17,3
PPV,PPV_Event,45,Event_27,17,3
PPV,PPV_Event,46,Event_28,18,3
PPV,PPV_Event,47,Event_29,18,3
PPV,PPV_Event,48,Event_30,18,3
Entitlements,Entitlements_Node,1,Entitlements_core_node,,0
Entitlements,Billing_Node,2,Tariff_1,1,1
Entitlements,Billing_Node,3,Tariff_2,1,1
Entitlements,Billing_Node,4,Tariff_3,1,1
Entitlements,Billing_Node,5,Tariff_4,1,1
Entitlements,Billing_Node,6,Tariff_5,1,1
Entitlements,Tier,13,Tier_1,1,1
Entitlements,Tier,14,Tier_2,1,1
Entitlements,Tier,15,Tier_3,1,1
Entitlements,Tier,16,Tier_4,1,1
Entitlements,Tier,17,Tier_5,1,1
Entitlements,PPV_Channel,7,Sport,2:13,2
Entitlements,PPV_Channel,8,Documentary,2:13,2
Entitlements,PPV_Channel,9,Children,3:14,2
Entitlements,PPV_Channel,10,Famaly,3:14,2
Entitlements,PPV_Channel,11,Sport,4:15,2
Entitlements,PPV_Channel,12,Children,4:15,2
Entitlements,PPV_Channel,13,Famaly,4:15,2
Entitlements,PPV_Channel,14,Documentary,4:15,2
Entitlements,PPV_Channel,15,Sport_interview,5:16,2
Entitlements,PPV_Channel,16,Sport_news,5:16,2
Entitlements,PPV_Channel,11,Sport_events,6:17,2
Entitlements,PPV_Channel,12,Famaly_shows,6:17,2
Services,Service,1,Services_core_node,,0
Services,Service,2,PPV,1,1
Services,Service,3,Watch_TV,1,1
Services,Service,4,VOD,1,1
Services,Service,5,Time_shift,1,1
Services,Service,6,DVR,1,1
User,User_Group,1,User_core_node,,0
User,User_Group,2,Tariff_1,1,1
User,User_Group,3,Tariff_2,1,1
User,User_Group,4,Tariff_3,1,1
User,User_Group,5,Tariff_4,1,1
User,User_Group,6,Tariff_5,1,1
User,User,7,User_1,2,2
User,User,8,User_2,2,2
User,User,9,User_3,2,2
User,User,10,User_4,2,2
User,User,11,User_5,2,2
User,User,12,User_6,3,2
User,User,13,User_7,3,2
User,User,14,User_8,3,2
User,User,15,User_9,3,2
User,User,16,User_10,3,2
User,User,17,User_11,4,2
User,User,18,User_12,4,2
User,User,19,User_13,4,2
User,User,20,User_14,4,2
User,User,21,User_15,4,2
User,User,22,User_16,5,2
User,User,23,User_17,5,2
User,User,24,User_18,5,2
User,User,25,User_19,5,2
User,User,26,User_20,5,2
User,User,27,User_21,6,2
User,User,28,User_22,6,2
User,User,29,User_23,6,2
User,User,30,User_24,6,2
User,User,31,User_25,6,2
User,STB,32,STB_1,7,3
User,STB,33,STB_2,8,3
User,STB,34,STB_3,9,3
User,STB,35,STB_4,10,3
User,STB,36,STB_5,11,3
User,STB,37,STB_6,12,3
User,STB,38,STB_7,13,3
User,STB,39,STB_8,14,3
User,STB,40,STB_9,15,3
User,STB,41,STB_10,16,3
User,STB,42,STB_11,17,3
User,STB,43,STB_12,18,3
User,STB,44,STB_13,19,3
User,STB,45,STB_14,20,3
User,STB,46,STB_15,21,3
User,STB,47,STB_16,22,3
User,STB,48,STB_17,23,3
User,STB,49,STB_18,24,3
User,STB,50,STB_19,25,3
User,STB,51,STB_20,26,3
User,STB,52,STB_21,27,3
User,STB,53,STB_22,28,3
User,STB,54,STB_23,29,3
User,STB,55,STB_24,30,3
User,STB,56,STB_25,31,3
